what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321503735467
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1321503735494
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1321503735494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321503742455
error,log,,,"Could not write metadata for '/'.",1321503884527
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321504008748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321504019555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321504076599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321504350207
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508638149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508642997
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508648481
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508649066
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508660183
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508660507
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508662272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508663984
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508664487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508671684
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508671778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508672952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508674502
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508674961
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508681367
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508681464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508682923
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508684606
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508685076
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508693029
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508693270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508694386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508700208
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508700670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508705367
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321508705597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508706962
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508708465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508708926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508713151
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1321508713237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508714629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508716206
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508716659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508721634
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1321508721704
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508722483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508724092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508724544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508727817
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1321508727896
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508728642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508729953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508730409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508734451
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321508734588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508735514
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508736793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508737236
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508743868
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321508743987
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508744816
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508747237
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321508757230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508759306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508763266
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1321508767375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508767477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508792532
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508793578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1321508812151
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321508865735
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508870544
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1321508883515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1321508891714
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1321508924494
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1321508926234
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508927596
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321508929649
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321508940575
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321508949046
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1321508950059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1321508953893
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321508956087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508958740
error,log,,,"Could not write metadata for '/'.",1321508960422
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508972155
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1321508972211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508978629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321508990523
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1321508990898
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509010197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509143503
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321509144357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509163906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509425947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509433019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509583144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509589286
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509591351
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1321509592627
error,log,,,"Problems saving workspace",1321509634737
error,log,,,"Problems occurred while trying to save the state of the workbench.",1321509634738
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1321509637400
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1321509637415
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1321509637492
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1321509637535
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1321509637557
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.0.v201004290328,"org.eclipse.wst.xml.xpath.ui",1321509637606
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1321509637680
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.0.v201110251216-213216,"overlay.com.android.ide.eclipse.adt.overlay",1321509637699
stopped,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1321509637734
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.305.v201110211728,"org.eclipse.wst.jsdt.web.ui",1321509637734
stopped,bundle,org.eclipse.wst.web.ui,1.1.401.v201109151600,"org.eclipse.wst.web.ui",1321509637875
stopped,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1321509637875
stopped,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1321509637875
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui",1321509637927
stopped,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1321509637927
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1321509638026
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1321509638176
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1321509638235
stopped,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1321509638246
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1321509638246
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.300.v201004150600,"org.eclipse.wst.jsdt.support.firefox",1321509638287
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.6.v201109150205,"org.eclipse.wst.jsdt.debug.ui",1321509638288
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1321509638288
stopped,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1321509638288
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1321509638400
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1321509638454
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1321509638470
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1321509638546
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1321509638546
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1321509638546
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1321509638751
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1321509638762
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.200.v20090113,"org.eclipse.wst.server.http.ui",1321509638844
stopped,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1321509638863
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1321509638863
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,15.0.0.v201110251216-213216,"com.android.ide.eclipse.hierarchyviewer",1321509638993
stopped,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1321509638995
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1321509639011
stopped,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1321509639011
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1321509639042
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1321509639056
stopped,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1321509639056
