what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1327890832302
stopped,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1327890832302
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1327890832302
stopped,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1327890832303
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1327890832303
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1327890832303
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1327890832303
stopped,bundle,org.eclipse.ptp.rdt.xlc,1.0.0.201109141657,"org.eclipse.ptp.rdt.xlc",1327890832304
stopped,bundle,org.eclipse.cdt.core.lrparser.xlc,5.1.0.201109151620,"org.eclipse.cdt.core.lrparser.xlc",1327890832304
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201109151620,"org.eclipse.cdt.dsf.ui",1327890832304
stopped,bundle,org.eclipse.ptp.pldt.wizards,6.0.0.201109141657,"org.eclipse.ptp.pldt.wizards",1327890832304
stopped,bundle,org.eclipse.ptp.pldt.mpi.core,6.0.0.201109141657,"org.eclipse.ptp.pldt.mpi.core",1327890832304
stopped,bundle,org.eclipse.ptp.pldt.openmp.core,6.0.0.201109141657,"org.eclipse.ptp.pldt.openmp.core",1327890832304
stopped,bundle,org.eclipse.photran.core.vpg,7.0.0.201109141657,"org.eclipse.photran.core.vpg",1327890832304
stopped,bundle,org.eclipse.ptp.rdt.sync.ui.fortran,1.0.0.201109141657,"org.eclipse.ptp.rdt.sync.ui.fortran",1327890832304
stopped,bundle,org.eclipse.photran.cdtinterface,7.0.0.201109141657,"org.eclipse.photran.cdtinterface",1327890832304
stopped,bundle,org.eclipse.ptp.etfw.ppw,1.0.3.201109141657,"org.eclipse.ptp.etfw.ppw",1327890832304
stopped,bundle,org.eclipse.ptp.etfw.tau,1.0.1.201109141657,"org.eclipse.ptp.etfw.tau",1327890832304
stopped,bundle,org.eclipse.ptp.etfw.tau.perfdmf,2.0.0.201109141657,"org.eclipse.ptp.etfw.tau.perfdmf",1327890832304
stopped,bundle,org.eclipse.ptp.etfw,5.0.0.201109141657,"org.eclipse.ptp.etfw",1327890832304
stopped,bundle,org.eclipse.ptp.remotetools.environment.launcher,3.0.0.201109141657,"org.eclipse.ptp.remotetools.environment.launcher",1327890832304
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201109151620,"org.eclipse.cdt.launch",1327890832304
stopped,bundle,org.eclipse.ptp.debug.sdm.ui,4.0.0.201109141657,"org.eclipse.ptp.debug.sdm.ui",1327890832304
stopped,bundle,org.eclipse.ptp.debug.sdm.x10,1.0.0.201109141657,"org.eclipse.ptp.debug.sdm.x10",1327890832304
stopped,bundle,org.eclipse.ptp.debug.sdm.core,5.0.0.201109141657,"org.eclipse.ptp.debug.sdm.core",1327890832304
stopped,bundle,org.eclipse.ptp.rm.generic.ui,1.0.0.201109141657,"org.eclipse.ptp.rm.generic.ui",1327890832304
stopped,bundle,org.eclipse.ptp.rm.ibm.ll.ui,5.0.0.201109141657,"org.eclipse.ptp.rm.ibm.ll.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.ibm.pe.ui,5.0.0.201109141657,"org.eclipse.ptp.rm.ibm.pe.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.lml_jaxb,1.0.0.201109141657,"org.eclipse.ptp.rm.lml_jaxb",1327890832305
stopped,bundle,org.eclipse.ptp.rm.jaxb.control.ui,1.0.0.201109141657,"org.eclipse.ptp.rm.jaxb.control.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.lml.monitor.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.lml.monitor.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.mpi.mpich2.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.mpi.mpich2.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.mpi.openmpi.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.mpi.openmpi.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.slurm.ui,4.0.0.201109141657,"org.eclipse.ptp.rm.slurm.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.jaxb.ui,1.0.0.201109141657,"org.eclipse.ptp.rm.jaxb.ui",1327890832305
stopped,bundle,org.eclipse.ptp.rm.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.ui",1327890832329
