what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.rse.processes.ui,3.0.300.v201101042155,"org.eclipse.rse.processes.ui",1330753901618
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1330753901618
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.100.v201103232243,"org.eclipse.wst.jsdt.debug.ui",1330753901618
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.400.v201008112000,"org.eclipse.wst.jsdt.support.firefox",1330753901618
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1330753901618
stopped,bundle,org.eclipse.xtext.ui.junit,2.0.1.v201108020636,"org.eclipse.xtext.ui.junit",1330753901756
stopped,bundle,org.eclipse.xtext.ui,2.0.1.v201108020636,"org.eclipse.xtext.ui",1330753901756
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1330753901756
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1330753901756
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1330753901756
stopped,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1330753901757
stopped,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1330753901757
stopped,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1330753901757
stopped,bundle,org.eclipse.tm.terminal.local,0.2.0.v201101042155,"org.eclipse.tm.terminal.local",1330753901757
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1330753901757
stopped,bundle,org.eclipse.dltk.console.ui,3.0.0.v20101212-1106,"org.eclipse.dltk.console.ui",1330753901757
stopped,bundle,org.eclipse.linuxtools.rpm.ui,0.4.3.201108301805,"org.eclipse.linuxtools.rpm.ui",1330753901757
stopped,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1330753901757
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,16.0.1.v201112150204-238534,"com.android.ide.eclipse.hierarchyviewer",1330753901757
stopped,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1330753901757
stopped,bundle,org.eclipse.ptp.gem,1.3.0.201109141657,"org.eclipse.ptp.gem",1330753901757
stopped,bundle,org.eclipse.ptp.remote.remotetools.ui,3.0.0.201109141657,"org.eclipse.ptp.remote.remotetools.ui",1330753901757
stopped,bundle,org.eclipse.ptp.remote.remotetools.core,5.0.0.201109141657,"org.eclipse.ptp.remote.remotetools.core",1330753901757
stopped,bundle,org.eclipse.ptp.remotetools.environment.generichost,1.4.0.201109141657,"org.eclipse.ptp.remotetools.environment.generichost",1330753901757
stopped,bundle,org.eclipse.ptp.remotetools.environment.ui,1.3.2.201109141657,"org.eclipse.ptp.remotetools.environment.ui",1330753901757
stopped,bundle,org.eclipse.ptp.remotetools.environment.core,2.0.0.201109141657,"org.eclipse.ptp.remotetools.environment.core",1330753901757
stopped,bundle,org.eclipse.ptp.remotetools.core,4.0.0.201109141657,"org.eclipse.ptp.remotetools.core",1330753901757
stopped,bundle,org.eclipse.ptp.remotetools.utils,3.0.0.201109141657,"org.eclipse.ptp.remotetools.utils",1330753901826
stopped,bundle,org.eclipse.ptp.rm.lml.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.lml.ui",1330753901826
stopped,bundle,org.eclipse.rse.subsystems.files.ftp,2.1.301.R33x_v201107212114,"org.eclipse.rse.subsystems.files.ftp",1330753901826
stopped,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1330753901826
stopped,bundle,org.eclipse.photran.core,7.0.0.201109141657,"org.eclipse.photran.core",1330753901826
stopped,bundle,org.eclipse.ptp.etfw.feedback,5.0.0.201109141657,"org.eclipse.ptp.etfw.feedback",1330753901826
stopped,bundle,org.eclipse.dltk.rse.core,2.0.0.v20101211-0331,"org.eclipse.dltk.rse.core",1330753901826
stopped,bundle,org.eclipse.rse.efs,2.1.300.v201101042155,"org.eclipse.rse.efs",1330753901826
stopped,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1330753901826
stopped,bundle,org.eclipse.ptp.remote.rse.core,5.0.1.201109141657,"org.eclipse.ptp.remote.rse.core",1330753901826
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.201.R33x_v201109141647,"org.eclipse.rse.subsystems.files.dstore",1330753901826
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.300.v201101042155,"org.eclipse.rse.subsystems.processes.dstore",1330753901826
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.dstore",1330753901826
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.200.v201103141607,"org.eclipse.rse.connectorservice.dstore",1330753901826
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1330753901826
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.processes.local",1330753901827
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1330753901827
stopped,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1330753901867
stopped,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.ssh",1330753901867
stopped,bundle,org.eclipse.rse.subsystems.shells.ssh,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.ssh",1330753901867
stopped,bundle,org.eclipse.rse.subsystems.terminals.ssh,1.0.100.v201101042155,"org.eclipse.rse.subsystems.terminals.ssh",1330753901867
stopped,bundle,org.eclipse.rse.connectorservice.ssh,2.1.200.v201101042155,"org.eclipse.rse.connectorservice.ssh",1330753901868
stopped,bundle,org.eclipse.rse.connectorservice.telnet,1.2.200.v201101042155,"org.eclipse.rse.connectorservice.telnet",1330753901885
